name,weight,description
"30 rounds .223 (AR15)",1,
"6 round .50cal",1,
"50BMG and 6 rounds",1,
"a school backpack",1,
"a hiking backpack",1,
"a tuxedo in your size -black cashmere",1,
"a tuxedo in your size -purple velvet",1,
"a penguin suit in your size",1,
"boots in your size, steel toe",1,
"A fully stocked RV",1,
"A machine shop - drill press, hydraulic press, mill, lath, belt sander, work bench, band saw, various hand tools, electric powered, comes with 10x car batteries, and an exercise bike. 10 hours of run time for the mill alone. bike can charge 300W hours. lath uses 500W. (300 was human record, need to change people or have Olympic strength to get there)",1,
"Candy shop, with candy. 10'x10'",1,
"1 MC Donald's restaurant with play area.",1,
"a pallet of Ikea furniture with no instructions",1,
"a crate of vuvuzela",1,
"2 55 gal drums of two part epoxy. One resin one harder",1,
"A single roll of toilet paper. very high quality.",1,
"A tooth brush",1,
"a folding chair",1,
"a folding chair 4x larger than it should be",1,
"a GTX4090TI with RGB founders edition",1,
"a TI84 calculator (with batteries)",1,
"a 3d printer 18 inch no power source, but has a universal battery input. includes laser scanner.",1,
"100 pills ivermectin",1,
"a doll house with accessories",1,
"100 Sugar pills. labeled sugar pills.",1,
"100 Tylenol 500mg pills. labeled sugar pills.",1,
"Cat food 100 cans",1,
"Battery operated snow blower -1 hour",1,
"A couch, but it is sticky like a sticky mouse trap. Will barely trap a typical human if they have all 4 limbs stuck down.",1,
"ice skates in your size",1,
"dress shoes",1,
"a north face winter jacket in your size",1,
"clown shoes",1,
"dented traffic cones -5",1,
"bag of water balloons",1,
"2 gal jug of gasoline",1,
"an infective, but functional lighter, and 4 non-functional lighters.",1,
"a coat rack",1,
"a heap of keys, and a philosophical treatise on what defines a heap.",1,
"a car sized pile of empty pop cans, all vernors ginger ale.",1,
"A Zamboni",1,
"a waifu pillow",1,
"a different waifu pillow",1,
"star trek tricorder",1,
"chick pamphlets 1 pallet.",1,
"a tin foil hat",1,
"Portal turret (are you still there? 1 min fire time)",1,
"An electric chain saw 30 min run time",1,
"a dull pocket knife",1,
"a very large bath robe",1,
"1 very nice spork",1,
"frilly cloths",1,
"a baby gate",1,
"muppet treasure island DVD",1,
"A katana",1,
"A blueberry bush in a large pot",1,
"an iron bar",1,
"A dune buggy electric 6 hour run time",1,
"24, 24packs of buddy lit",1,
"Paint ball gun and 100 rounds (orange)",1,
"a tent",1,
"100' of barbed wire (one 2 foot tall roll X 100ft)",1,
"package of shoe laces",1,
"a stick of dynamite",1,
"A porch of geese",1,
"Embraer Phenom 100/100EV Length: 12.82 m (42 ft) 7 passengers",1,
"Geiger counter (why do we have this I wondered? Then it clicked)",1,
"Uranium Glass ware set",1,
"floss -400 yards-mint",1,
"batman theme fingernail clippers",1,
"a small case of boxes of cheese-its (24)",1,
"house sized tungsten cube",1,
